user_id,item_id
137507730,358788976
31182685,73233753
42096946,395074329
20231406,352931589
58399743,217054155
11366706,233101284
4498439,344667993
26412532,357375905
115761083,269477241
132626507,286175221
113010458,86463202
138961180,243088323
40528453,58187981
20462589,49483732
5369231,394658338
112141018,239817985
2048794,349017358
59472933,115152156
104876086,202040533
19950899,84853331
29499215,77051146
120305341,143215991
50805790,70291150
13492065,280674759
50845861,398684530
56818905,192196843
107447408,328689347
127367034,230542910
13709817,56872257
5369231,36641963
120430102,238390216
12546384,229343937
12952941,316324532
48362340,118448109
135567210,23384815
26412532,319618270
23730268,74679263
35323402,219879600
39329021,206358562
116340014,54198076
135567210,56262444
100184380,39714795
42096946,386923481
140318987,341161365
54041681,241195323
36901706,249403056
27795908,8747111
102681517,188563767
26412532,269767436
130507850,264647139
134116374,310599523
40528453,153924274
110946571,147950706
121262927,242850512
18488008,382134731
107447408,403434589
17562880,392337274
100724935,289562674
140342846,104188496
29499215,391850817
42793246,332975970
135567210,198472080
103823974,276596024
23579299,148430748
42096946,347300442
17562880,89075900
49669986,367180865
4209449,69692737
115537643,272990629
135378246,372797306
62164715,133142898
39329021,179222099
19950899,214033234
107264414,274520757
127367034,347887357
131395085,321599479
34756237,187699550
117753018,203851622
57380691,303002557
127367034,203474800
2854798,183548496
12506484,317247542
113210000,117811024
32679361,135707416
111793402,194109891
115537643,349595589
48967362,68940123
135894801,30244339
109016093,398105124
56818905,382993678
135567210,286681441
115537643,391425064
6357161,372332367
40528453,112501186
23579299,190856333
138961180,98603220
124956647,168437879
103823974,191709394
26412532,305683204
115537643,103011981
20231406,286026539
115537643,244354451
54041681,146662167
2961442,267909918
25286173,160598516
138961180,300455857
104900356,108771067
1591612,36907872
124956647,321594892
101823100,80784169
120305341,98445367
18959614,61535141
17562880,375360011
29235785,139744584
121883405,271705542
62969888,121827867
47688515,183873984
132626507,179516225
44142824,280668731
52403660,39070974
103823974,298876409
39329021,328376598
61432703,221058293
27496280,172658863
31510981,97623200
18488008,163689973
35520386,327479309
123839396,173802353
48362340,154168523
135378246,133073301
138487774,282632922
120305341,127861086
4957823,204764748
112141018,33069267
138961180,5034127
20612499,115992351
135378246,154200932
120305341,286385973
54041681,154726
27496280,141665547
17219776,128702084
136286592,115214235
20170290,255284313
109737327,89894116
42096946,35946273
142159824,179625206
115537643,246166063
40528453,66985938
120305341,189099117
129446418,376150112
104550352,83931547
115537643,268626892
135249894,39554131
112141018,186834589
12952941,401863214
23730268,237583921
135200142,127213733
20231406,101153891
48195330,215402213
131856122,254220669
11594934,144053049
3777256,31609311
142014633,254836176
122630648,334485827
112141018,20997179
135378246,335006730
40528453,319719400
128008896,137318721
23213836,193725501
4915814,186653415
54041681,954972
26412532,267394734
20501826,344294537
36656480,63093626
100184380,386120298
132236660,151793480
30293799,252876827
142014633,37683117
120305341,66795195
116159885,318639641
113010458,128538534
132626507,57047804
141287867,296607838
36901706,302608469
27317801,68820487
42096946,306706132
103490614,79590796
54041681,278129435
112619968,95867699
50936650,376180369
121883405,274749242
135567210,263346627
42096946,129509881
135944085,288901291
61432703,295094478
111408175,298206428
134979525,338630082
14969215,204515380
4320107,28837902
103582819,190639367
117707223,263586939
26037919,83998781
127414902,205442734
61432703,56593125
137758701,222559857
17465512,337991080
49221063,76942520
64019348,242959465
20231406,75125844
54041681,380792122
30009492,196793876
36656480,31123422
109538120,343495830
59356413,111995493
124956647,307830817
135378246,154370452
54614978,195619344
137507730,404004432
117707223,344609145
17562880,389880109
120305341,22022092
11594934,55559718
23579299,259139642
137640381,373435069
48362340,57434964
108809234,278950351
56269254,56659837
132626507,104286227
132626507,24376695
105315608,22480731
140863667,360827124
102784585,54928562
131771456,403813216
115537643,357213564
54041681,339102108
124900136,368870511
120305341,26257029
120305341,273501352
57269349,109860118
105315608,157003463
103823974,37910916
135809553,292173570
15033334,44937462
48362340,270145097
115537643,29517329
110961790,276237060
135567210,27855022
134116374,167063158
139777963,395568949
27496280,86610821
18249259,80411699
137856687,359878214
45069500,192219540
33635794,68289678
48790890,113663460
40849750,399757811
48362340,111706206
120305341,154796317
5369231,118143895
136286592,190177818
120305341,253798929
54041681,295067912
115537643,40806602
2048794,199187082
28557548,1696120
103490614,300814663
106655468,60389288
120305341,156297357
50805790,146543101
115669976,187864672
135378246,379249019
58517586,314069950
134116374,293229160
135809553,188340393
141287867,94470453
132236660,381125638
23730268,297853261
5027015,262178796
103823974,316196236
44110187,163037053
142014633,299363124
18488008,268865942
103459768,113311445
63220007,229076252
39329021,167169765
121986074,215620055
20231406,239791364
23730268,362544821
100184380,98113284
110128897,287227617
28785719,375648589
135378246,180200233
135567210,177729634
42793246,77414788
50114359,283687321
135567210,198438891
114241355,300659355
5369231,388841642
46729748,210012720
142191573,277149740
38026943,48975241
137507730,329887367
42096946,120214329
115856090,250568332
64824540,40720543
106346810,356374095
104550352,360143307
122132057,288398671
132236660,180933374
22380591,396698613
37020122,349757910
17562880,42957798
42793246,324456403
5369231,387044850
11366706,314633261
100171465,282381791
61750058,67897568
44142824,273532679
26352376,37672618
45629939,21474169
135792408,290999637
62969888,43207895
115537643,346188820
42873856,25790243
36090836,189286725
121658987,240657308
29499215,31110174
135200142,283700887
48362340,286860949
60380684,237223630
62164715,257492055
103823974,200237852
50783368,205542738
142014633,227433318
49235565,61973927
127367034,281251986
51318043,99705326
46534133,130294616
111382789,261554871
50260039,251443481
54594113,40554502
120305341,74438920
120305341,175764779
137507730,85930257
135378246,400701289
161481,209171499
138560071,100530226
39329021,225321535
49669986,102956996
2854798,257727704
4915814,343575787
42096946,196516706
49711251,123974875
29499215,233721639
120305341,338018239
12506484,287388185
28178051,249403460
120305341,289899078
136592694,367289773
122645273,115296587
34085107,294614743
120305341,203040432
57269349,42730171
112631605,206607870
11594934,55807645
29684399,1490572
53029436,313263267
138589540,170742994
120305341,174897531
2171674,259819305
135567210,78957582
127367034,268885206
61432703,222415521
25286173,278155255
41686678,385753960
54007481,335779222
48967362,311913498
119398002,147826354
39329021,267105988
31182685,332581378
15033334,297189143
120306985,75693482
18959614,108852248
5369231,18311946
42793246,125634399
135567210,28644360
12257382,185913169
120305341,377607849
530238,69382307
17448412,374880559
135378246,228836179
26037919,70506159
59356413,280303221
138796450,324707959
123839396,339797425
128441868,123705616
61432703,337098384
115761083,64989800
137882655,298332235
134327445,320949603
115537643,25079579
2854798,297886807
26926537,35161881
530238,165455096
142014633,928037
24942526,179212218
135378246,21875449
40406632,324232322
4041047,98723312
135567210,272484901
21150501,283810029
122132057,291689553
54007481,372291094
121883405,349199984
5708087,249026377
115537643,190442830
120305341,52507190
137507730,283482855
42793246,330687918
54041681,398329798
40528453,161696840
103582819,104794920
134116374,174227711
42096946,23893034
142014633,77003388
161481,130656012
105805055,216704309
2048794,252564781
61432703,53382385
122357858,222439594
36198131,258349063
121299887,336162847
103823974,147838679
28883723,260226898
24472810,366516190
63623282,244553557
142014633,302419754
109737327,150724185
11026029,88964509
39329021,262546497
122132057,154516935
54041681,303563756
121271681,248251873
120305341,95926279
103823974,131120022
132626507,140610787
31182685,300199661
42096946,400072608
12215373,380828034
29684399,125157108
60956726,341849097
131856122,286020089
15033334,6795748
35520386,184803032
39329021,271652875
447828,206016051
138780010,401070714
24979429,167780112
135567210,296800273
129887427,97725387
134669262,57175645
61432703,355194157
54041681,303623649
137507730,236303333
106778951,154455248
122357858,242725915
139060891,294750247
26037919,155302538
126920490,137729000
37928819,144665944
35520386,93706040
18856090,377362284
46534133,332573577
111311287,344702101
135567210,56354946
50845861,320105129
120305341,230735725
135567210,147681344
127414902,196798986
124956647,159219622
112141018,31193281
20231406,84211461
12546384,93988402
120305341,292894788
42991288,380480240
110948224,79458119
134327445,94117885
161481,46870795
121883405,401061336
17171257,223441580
113512469,61064707
120305341,99391402
32679361,214874577
58632405,164839096
137507730,153684026
116631182,211666518
106346810,258826379
53187338,94223723
50146084,242709260
32079118,23362852
35323402,66277095
39329021,192550294
112200367,261577786
110067667,289330031
130797629,68698676
122645273,346551228
122132057,317459368
131856122,163456075
24066823,105349808
105315608,114765762
132424760,69977335
56993964,305742819
135894801,233678245
20657253,74031488
136592694,305399617
103823974,287907105
